boundary_hour,tau,se,pct_change,n_obs,n_dates,bandwidth_min,poly_order,sample,is_toll_boundary,is_placebo
15,0.014589035930018987,0.005723793566528071,1.4695975329419164,1044,174,30,2,weekend,False,True
16,0.0008830744727690727,0.0068696297752976875,0.08834644978299101,1044,174,30,2,weekend,False,True
17,-0.004389256021548017,0.005825687283065671,-0.4379637315470515,1044,174,30,2,weekend,False,True
18,0.005248509017863184,0.005823551947407689,0.5262306569615302,1044,174,30,2,weekend,False,True
19,-0.008141356513587909,0.0056973405895696955,-0.8108305425031496,1044,174,30,2,weekend,False,True
20,-0.01823332425188379,0.006316379421391658,-1.8068102897358125,1044,174,30,2,weekend,False,True
21,0.085950969540422,0.00793334004525903,8.9752895909919,1044,174,30,2,weekend,True,False
22,-0.008697363475133758,0.00702495508950926,-0.8659650822171426,1044,174,30,2,weekend,False,True
23,0.0013156482975730914,0.008113983938929847,0.13165141424686977,1044,174,30,2,weekend,False,True
0,-0.13998622525376206,0.007653592360146344,-13.06297893296337,5220,435,60,1,weekday,False,False
1,0.009318950093508867,0.0027692335322508643,0.9362506704422426,5220,435,60,1,weekday,False,True
2,-0.021098477940860883,0.002541158460970751,-2.087746214979283,5220,435,60,1,weekday,False,True
3,-0.02278911205677266,0.002417593776174695,-2.253140161874776,5220,435,60,1,weekday,False,True
4,0.01780795556664999,0.0023228364231862846,1.7967462632200317,5220,435,60,1,weekday,False,True
5,-0.5138093622584909,0.004584371626572535,-40.17875749412339,5220,435,60,1,weekday,True,False
6,-0.13873014145464319,0.0020494278801120426,-12.953710138242549,5220,435,60,1,weekday,False,True
7,-0.11606829899235853,0.001977624275730103,-10.958559318612295,5220,435,60,1,weekday,False,True
8,-0.03486815779759958,0.0015244701882916576,-3.4267267805081985,5220,435,60,1,weekday,False,True
9,-0.03970359028738513,0.001722097895357165,-3.89257313150997,5220,435,60,1,weekday,False,True
10,-0.041010036990026755,0.0017630901418885082,-4.018050379925876,5220,435,60,1,weekday,False,True
11,-0.020169524211202442,0.0018642698265765906,-1.9967480016255277,5220,435,60,1,weekday,False,True
12,-0.021013928946294034,0.0019068797234996027,-2.0794674823916592,5220,435,60,1,weekday,False,True
13,-0.013225577328088264,0.0017891216913582197,-1.3138503669424146,5220,435,60,1,weekday,False,True
14,-0.0018263756322713267,0.001598662277167717,-0.18247088231905018,5220,435,60,1,weekday,False,True
15,-0.015989339498093735,0.0014609292757970314,-1.5862188597622013,5220,435,60,1,weekday,False,True
16,-0.02021523505048161,0.0014332757833379942,-2.0012277101400633,5220,435,60,1,weekday,False,True
17,-0.010022651779464098,0.0015727191434101522,-0.9972592387327592,5220,435,60,1,weekday,False,True
18,0.0009940628805706815,0.0015652599919748474,0.09945571248323366,5220,435,60,1,weekday,False,True
19,-0.029550336047373536,0.0020346138798504783,-2.911799395144739,5220,435,60,1,weekday,False,True
20,-0.03176275409884584,0.0019101355422563315,-3.126361644531211,5220,435,60,1,weekday,False,True
21,0.12162073466580833,0.0022885928080671747,12.932570645623557,5220,435,60,1,weekday,True,False
22,-0.0007066019028519859,0.002070704294957684,-0.07063523185164791,5220,435,60,1,weekday,False,True
23,-0.10361323889947284,0.0025275700159088184,-9.842607627774148,5220,435,60,1,weekday,False,True
0,0.19767196579884586,0.03200482819698379,21.856259804347793,2088,174,60,1,weekend,False,False
1,-0.0018269046997534686,0.004979222230115138,-0.182523692513884,2088,174,60,1,weekend,False,True
2,-0.10591752967073792,0.06136624305978738,-10.050117301846534,2088,174,60,1,weekend,False,True
3,0.07198909770949428,0.0614885671692293,7.464362792292563,2088,174,60,1,weekend,False,True
4,0.006142822760069555,0.003430761946390723,0.6161728587691728,2088,174,60,1,weekend,False,True
5,-0.102539421511197,0.0035411405809874295,-9.7457430540392,2088,174,60,1,weekend,False,True
6,-0.05929360349659008,0.0038430121263428488,-5.756997221847816,2088,174,60,1,weekend,False,True
7,-0.23857443985355542,0.0035232092662652002,-21.224995392355773,2088,174,60,1,weekend,False,True
8,-0.08900903669008531,0.002899087305815906,-8.516269356411845,2088,174,60,1,weekend,False,True
9,-0.19498400926016846,0.0042018376949112465,-17.715218410383873,2088,174,60,1,weekend,True,False
10,-0.06288323323176583,0.002528498437957569,-6.094688251463822,2088,174,60,1,weekend,False,True
11,-0.04657232992772497,0.0025690920991566814,-4.5504480518805925,2088,174,60,1,weekend,False,True
12,-0.043162874974453536,0.0021187463913966333,-4.224461702098513,2088,174,60,1,weekend,False,True
13,-0.014868737856938772,0.0021265409330819595,-1.475874400560218,2088,174,60,1,weekend,False,True
14,-0.002501558668742684,0.0021547265242161822,-0.2498432378265796,2088,174,60,1,weekend,False,True
15,-0.018827655997789277,0.0022010207272812193,-1.8651522806463376,2088,174,60,1,weekend,False,True
16,-0.010557496089857532,0.002206735533283149,-1.0501961335818486,2088,174,60,1,weekend,False,True
17,-0.013757332608497774,0.0022533343906455854,-1.3663132981565094,2088,174,60,1,weekend,False,True
18,-0.00866702320043671,0.0023738442326822133,-0.8629572827374098,2088,174,60,1,weekend,False,True
19,-0.023477098661339655,0.002373429460459232,-2.3203655643420764,2088,174,60,1,weekend,False,True
20,-0.017254753545654415,0.002950949578599872,-1.7106742804645396,2088,174,60,1,weekend,False,True
21,0.08414713730810969,0.0038327312749553894,8.77889363703106,2088,174,60,1,weekend,True,False
22,0.011048555820748627,0.0025714997642727624,1.1109816519816467,2088,174,60,1,weekend,False,True
23,-0.08059049997030215,0.003802962573320469,-7.7428592879346185,2088,174,60,1,weekend,False,True
0,-0.19069068556452595,0.008258434432576107,-17.361183758930927,5220,435,60,2,weekday,False,False
1,-0.02050271528165003,0.003682139352601059,-2.0293963706916505,5220,435,60,2,weekday,False,True
